Sure, here is a hypothetical example of how the weightage of these stocks might be distributed. Please note that this is a theoretical model and actual investment decisions should be made based on thorough research and potentially with the help of a financial advisor. 

1. MSFT: 0.15
2. AAPL: 0.15
3. NVDA: 0.10
4. ADBE: 0.10
5. INTC: 0.05
6. CRM: 0.05
7. ORCL: 0.05
8. IBM: 0.05
9. CSCO: 0.05
10. AMD: 0.05
11. ACN: 0.05
12. TXN: 0.05
13. AVGO: 0.05
14. QCOM: 0.05
15. NOW: 0.05

Total: 1.00

Underlying Strategy: 

The strategy is a blend of market capitalization and equal weighting. 

The larger weights are given to Microsoft (MSFT) and Apple (AAPL) as they have the highest market capitalization among the stocks listed and are leaders in the technology sector. This follows a market capitalization weighting strategy.

The next tier, Nvidia (NVDA) and Adobe (ADBE), are given slightly less weightage. They are innovative companies with strong growth prospects, but their market capitalization is smaller compared to MSFT and AAPL.

The remaining stocks are equally weighted. This is to ensure diversification across different sub-sectors within the technology sector and to mitigate the risk associated with any single stock. This part of the strategy follows an equal weighting approach.

Again, this is a hypothetical allocation and actual allocation should be based on individual risk tolerance, investment horizon, and financial goals.
